Column2	Column3
2018-10-23T18:03:38.372Z	31.426266
2018-10-23T18:03:38.772Z	31.073203
2018-10-23T18:03:38.892Z	30.919855
2018-10-23T18:03:39.263Z	30.55444
2018-10-23T18:03:39.383Z	32.425017
2018-10-23T18:03:39.657Z	32.191413
2018-10-23T18:03:39.797Z	32.077496
2018-10-23T18:03:39.932Z	31.900688
2018-10-23T18:03:40.123Z	31.686892
2018-10-23T18:03:40.380Z	31.428048
2018-10-23T18:03:40.867Z	30.939869
2018-10-23T18:03:41.163Z	30.690652
2018-10-23T18:03:41.373Z	30.434072
2018-10-23T18:03:41.679Z	32.125969
2018-10-23T18:03:41.873Z	31.930503
2018-10-23T18:03:41.926Z	31.86581
2018-10-23T18:03:42.364Z	31.429988
2018-10-23T18:03:42.865Z	30.930726
2018-10-23T18:03:43.116Z	30.679439
2018-10-23T18:03:43.365Z	30.428853
2018-10-23T18:03:43.725Z	30.085182
2018-10-23T18:03:44.000Z	29.790919
2018-10-23T18:03:44.312Z	29.504605
2018-10-23T18:03:44.441Z	30.432344
2018-10-23T18:03:44.571Z	31.219747
2018-10-23T18:03:44.633Z	31.161041
2018-10-23T18:03:44.726Z	31.077745
2018-10-23T18:03:45.133Z	30.677979
2018-10-23T18:03:45.367Z	30.427965
2018-10-23T18:03:45.652Z	30.177972
2018-10-23T18:03:45.892Z	29.927857
2018-10-23T18:03:46.303Z	29.519139
2018-10-23T18:03:46.498Z	29.303254
2018-10-23T18:03:46.618Z	29.178681
2018-10-23T18:03:46.864Z	30.928216
2018-10-23T18:03:46.883Z	30.915787
2018-10-23T18:03:47.119Z	30.673946
2018-10-23T18:03:47.174Z	30.62125
2018-10-23T18:03:47.614Z	30.185483
2018-10-23T18:03:47.880Z	29.923344
2018-10-23T18:03:48.374Z	29.427528
2018-10-23T18:03:48.783Z	29.012167
2018-10-23T18:03:49.169Z	28.651334
2018-10-23T18:03:49.261Z	28.526961
2018-10-23T18:03:49.575Z	28.279399
2018-10-23T18:03:49.605Z	29.392856
2018-10-23T18:03:49.673Z	30.122449
2018-10-23T18:03:49.863Z	29.927672
2018-10-23T18:03:49.952Z	29.836278
2018-10-23T18:03:50.121Z	29.677549
2018-10-23T18:03:50.372Z	29.424665
2018-10-23T18:03:50.864Z	28.927556
2018-10-23T18:03:51.684Z	28.14727
2018-10-23T18:03:51.748Z	28.047758
2018-10-23T18:03:51.876Z	27.915148
2018-10-23T18:03:52.081Z	29.736762
2018-10-23T18:03:52.101Z	29.689762
2018-10-23T18:03:52.381Z	29.42598
2018-10-23T18:03:52.416Z	29.372229
2018-10-23T18:03:52.672Z	29.140943
2018-10-23T18:03:52.920Z	30.873841
2018-10-23T18:03:53.099Z	30.687881
2018-10-23T18:03:53.181Z	30.628887
2018-10-23T18:03:53.992Z	29.838194
2018-10-23T18:03:54.156Z	29.659727
2018-10-23T18:03:54.368Z	29.447311
2018-10-23T18:03:54.525Z	29.284644
2018-10-23T18:03:54.656Z	29.184565
2018-10-23T18:03:54.799Z	30.940745
2018-10-23T18:03:54.810Z	31.003323
2018-10-23T18:03:54.877Z	30.911913
2018-10-23T18:03:55.113Z	30.678727
2018-10-23T18:03:55.365Z	30.427098
2018-10-23T18:03:55.629Z	30.175345
2018-10-23T18:03:56.180Z	29.611287
2018-10-23T18:03:56.299Z	29.512424
2018-10-23T18:03:56.653Z	29.172665
2018-10-23T18:03:56.984Z	28.837891
2018-10-23T18:03:57.119Z	28.724149
2018-10-23T18:03:57.244Z	30.546626
2018-10-23T18:03:57.306Z	30.486574
2018-10-23T18:03:57.427Z	30.378372
2018-10-23T18:03:57.863Z	29.931942
2018-10-23T18:03:58.373Z	29.438001
2018-10-23T18:03:58.773Z	29.029291
2018-10-23T18:03:59.096Z	28.705994
2018-10-23T18:03:59.207Z	28.600015
2018-10-23T18:03:59.448Z	28.357427
2018-10-23T18:03:59.491Z	28.349871
2018-10-23T18:03:59.711Z	30.085138
2018-10-23T18:03:59.750Z	30.040226
2018-10-23T18:03:59.924Z	29.891989
2018-10-23T18:04:00.370Z	29.428241
2018-10-23T18:04:00.616Z	29.176383
2018-10-23T18:04:01.120Z	28.671917
2018-10-23T18:04:01.379Z	28.413689
2018-10-23T18:04:01.500Z	28.291003
2018-10-23T18:04:01.854Z	29.936488
2018-10-23T18:04:01.951Z	29.876152
2018-10-23T18:04:01.979Z	29.841065
2018-10-23T18:04:02.398Z	29.426469
2018-10-23T18:04:02.842Z	28.968604
2018-10-23T18:04:02.937Z	30.885648
2018-10-23T18:04:03.029Z	30.761919
2018-10-23T18:04:03.119Z	30.675924
2018-10-23T18:04:03.371Z	30.42244
2018-10-23T18:04:04.097Z	29.738257
2018-10-23T18:04:04.390Z	29.426139
2018-10-23T18:04:04.752Z	29.156565
2018-10-23T18:04:04.759Z	29.139838
2018-10-23T18:04:05.085Z	29.659726
2018-10-23T18:04:05.239Z	29.976254
2018-10-23T18:04:05.316Z	30.500907
2018-10-23T18:04:05.460Z	30.377834
2018-10-23T18:04:05.523Z	30.373245
2018-10-23T18:04:05.721Z	30.106442
2018-10-23T18:04:06.006Z	29.7879
2018-10-23T18:04:06.262Z	31.533194
2018-10-23T18:04:06.269Z	31.53122
2018-10-23T18:04:06.278Z	31.521123
2018-10-23T18:04:06.408Z	31.387086
2018-10-23T18:04:06.618Z	31.174952
2018-10-23T18:04:06.919Z	30.964814
2018-10-23T18:04:06.989Z	32.793131
2018-10-23T18:04:07.097Z	32.685748
2018-10-23T18:04:07.358Z	32.450268
2018-10-23T18:04:07.532Z	32.417708
2018-10-23T18:04:07.690Z	32.265328
2018-10-23T18:04:08.178Z	32.434218
2018-10-23T18:04:08.261Z	33.019137
2018-10-23T18:04:08.392Z	33.552691
2018-10-23T18:04:08.448Z	33.514148
2018-10-23T18:04:08.498Z	33.448088
2018-10-23T18:04:08.750Z	33.201897
2018-10-23T18:04:08.875Z	33.072804
2018-10-23T18:04:09.119Z	32.839075
2018-10-23T18:04:09.365Z	32.58601
2018-10-23T18:04:09.873Z	32.078973
2018-10-23T18:04:10.362Z	31.589307
2018-10-23T18:04:10.869Z	31.084102
2018-10-23T18:04:11.946Z	30.307341
2018-10-23T18:04:11.997Z	29.965076
2018-10-23T18:04:12.070Z	29.913452
2018-10-23T18:04:12.103Z	29.909553
2018-10-23T18:04:12.299Z	31.648257
2018-10-23T18:04:12.350Z	31.59836
2018-10-23T18:04:12.416Z	31.568882
2018-10-23T18:04:12.870Z	31.086437
2018-10-23T18:04:13.368Z	30.589012
2018-10-23T18:04:14.214Z	29.743247
2018-10-23T18:04:14.527Z	29.435905
2018-10-23T18:04:14.538Z	29.408472
2018-10-23T18:04:14.736Z	29.242355
2018-10-23T18:04:14.801Z	31.147201
2018-10-23T18:04:14.826Z	31.145393
2018-10-23T18:04:15.117Z	30.835036
2018-10-23T18:04:15.611Z	30.339106
2018-10-23T18:04:15.863Z	30.085568
2018-10-23T18:04:16.304Z	29.652197
2018-10-23T18:04:16.575Z	29.380642
