Interval	Avg	Std	CI=0.95	Min	Median	Max
  489 --   490	9.184	4.847	3.467	2.252	9.912	15.170
  490 --   491	8.888	4.693	3.357	2.188	8.765	15.845
  491 --   492	8.577	4.236	3.031	2.350	9.018	14.661
  492 --   493	8.531	4.330	3.098	1.911	10.268	13.743
  493 --   494	8.179	4.020	2.876	0.829	9.793	12.658
  494 --   495	8.273	3.856	2.759	0.041	10.463	11.661
  495 --   496	8.510	3.437	2.459	1.215	9.546	12.863
  496 --   497	9.341	3.703	2.649	0.866	9.690	15.431
  497 --   498	9.878	3.406	2.437	2.698	10.765	15.242
  498 --   499	9.876	3.626	2.594	4.138	9.798	15.634
  499 --   500	9.729	3.737	2.673	3.078	10.889	15.269
  500 --   501	9.682	3.541	2.533	4.109	11.022	15.473
  501 --   502	9.111	3.279	2.345	3.452	10.343	14.371
  502 --   503	8.911	3.484	2.492	2.281	9.177	13.203
  503 --   504	9.024	3.867	2.766	1.286	9.857	13.967
  504 --   505	8.929	4.201	3.005	0.369	10.719	13.372
  505 --   506	8.689	3.890	2.783	0.516	10.493	12.372
  506 --   507	8.702	4.302	3.078	0.412	10.344	13.288
  507 --   508	8.443	4.226	3.023	1.144	10.398	14.407
  508 --   509	8.260	4.101	2.934	0.239	10.118	13.331
  509 --   510	8.320	4.306	3.080	0.000	10.511	13.765
  510 --   511	7.960	4.149	2.968	0.054	9.434	13.287
  511 --   512	7.840	3.655	2.614	1.765	8.499	12.455
  512 --   513	7.389	3.322	2.377	0.765	7.419	11.371
  513 --   514	7.117	3.282	2.348	0.007	7.768	10.787
  514 --   515	6.950	3.643	2.606	0.000	7.710	10.893
  515 --   516	6.264	3.639	2.603	0.000	6.701	10.332
  516 --   517	6.590	3.969	2.839	0.566	7.180	11.818
  517 --   518	6.509	4.176	2.987	0.108	7.733	11.762
  518 --   519	6.372	4.120	2.947	0.516	7.770	11.208
  519 --   520	6.477	4.456	3.187	0.216	7.068	12.654
  520 --   521	6.663	4.749	3.397	0.000	7.206	14.343
  521 --   522	6.791	4.895	3.501	0.000	6.870	15.347
  522 --   523	6.911	4.945	3.537	0.000	5.827	16.390
  523 --   524	7.056	4.241	3.034	2.571	6.454	15.534
  524 --   525	7.563	4.323	3.093	1.621	5.993	14.303
  525 --   526	8.005	3.989	2.854	0.747	7.060	14.907
  526 --   527	8.164	3.970	2.840	0.030	8.552	14.454
  527 --   528	8.359	4.044	2.893	0.000	10.287	13.344
  528 --   529	9.008	4.821	3.449	0.000	10.056	16.381
  529 --   530	9.783	5.470	3.913	0.000	11.458	16.545
  530 --   531	9.324	5.596	4.003	0.000	11.104	16.546
  531 --   532	9.395	5.428	3.883	0.000	11.187	17.074
  532 --   533	9.377	4.978	3.561	1.063	11.235	17.074
  533 --   534	8.971	5.047	3.611	1.624	10.711	18.407
  534 --   535	8.767	5.467	3.911	0.539	9.997	19.074
  535 --   536	8.744	5.521	3.950	0.000	9.487	19.074
  536 --   537	9.101	6.108	4.369	0.831	10.252	21.074
  537 --   538	9.163	6.527	4.669	0.686	9.655	23.074
  538 --   539	9.295	6.069	4.342	0.761	9.396	23.074
  539 --   540	9.397	6.874	4.917	0.011	8.572	25.741
  540 --   541	9.387	7.188	5.142	0.000	8.486	27.074
  541 --   542	10.588	7.231	5.173	0.221	9.437	29.074
  542 --   543	11.364	7.311	5.230	0.000	10.430	29.074
  543 --   544	11.340	7.155	5.118	0.227	10.106	29.074
  544 --   545	12.369	8.161	5.838	0.534	11.468	33.074
  545 --   546	13.070	8.879	6.352	2.474	11.548	37.074
  546 --   547	13.300	8.368	5.986	4.884	11.205	36.800
  547 --   548	13.363	8.235	5.891	4.335	11.556	36.197
  548 --   549	13.165	7.982	5.710	4.838	10.662	35.139
  549 --   550	13.260	7.533	5.389	6.909	10.925	34.181
  550 --   551	12.941	7.489	5.357	7.180	10.177	33.218
  551 --   552	12.441	7.404	5.296	6.096	10.203	32.050
  552 --   553	12.012	7.680	5.494	5.221	9.081	31.121
  553 --   554	12.074	7.444	5.325	4.713	8.878	30.049
  554 --   555	12.276	7.941	5.681	4.980	8.543	30.727
  555 --   556	11.851	8.423	6.025	4.346	7.501	30.294
  556 --   557	11.676	8.740	6.252	3.222	7.780	29.217
  557 --   558	11.260	9.343	6.684	2.220	7.087	29.067
  558 --   559	11.444	9.906	7.086	2.234	8.504	31.067
  559 --   560	11.577	10.318	7.381	2.230	8.543	33.567
  560 --   561	12.104	10.760	7.697	1.977	8.705	37.067
  561 --   562	12.703	10.659	7.625	2.585	11.156	37.067
  562 --   563	13.134	11.252	8.049	2.006	11.018	39.067
  563 --   564	13.248	10.819	7.739	1.089	10.597	38.482
  564 --   565	13.254	10.550	7.547	0.113	10.811	37.727
  565 --   566	12.766	10.211	7.305	1.697	10.099	36.736
  566 --   567	12.721	9.648	6.902	1.585	10.543	35.577
  567 --   568	12.264	9.375	6.706	1.639	9.946	34.576
  568 --   569	12.144	8.867	6.343	2.403	9.366	33.731
  569 --   570	12.764	8.150	5.830	4.769	10.109	32.656
  570 --   571	12.529	8.065	5.769	4.248	9.822	31.732
  571 --   572	12.587	7.656	5.477	3.152	10.587	30.753
  572 --   573	12.467	7.732	5.531	2.123	10.696	31.065
  573 --   574	12.033	7.460	5.337	3.290	9.950	30.547
  574 --   575	12.093	7.159	5.122	5.147	10.358	29.612
  575 --   576	12.338	7.104	5.082	4.972	9.554	30.692
  576 --   577	13.009	6.681	4.779	5.319	10.755	29.654
  577 --   578	12.899	7.057	5.049	4.064	11.330	30.071
  578 --   579	12.979	7.075	5.061	4.718	11.702	29.727
  579 --   580	12.750	7.180	5.136	4.064	12.158	29.209
  580 --   581	12.518	7.464	5.339	4.176	11.528	29.585
  581 --   582	12.723	7.069	5.057	5.411	11.127	28.567
  582 --   583	12.401	7.464	5.339	4.412	10.418	29.066
  583 --   584	12.000	7.655	5.476	3.412	9.343	28.645
  584 --   585	12.012	8.099	5.794	2.328	10.705	28.470
  585 --   586	11.640	8.212	5.874	1.665	11.115	28.761
  586 --   587	11.967	7.728	5.528	3.999	10.446	28.363
  587 --   588	12.914	7.131	5.101	5.452	11.578	28.739
  588 --   589	13.646	6.318	4.519	5.740	11.814	27.572
