Interval	Avg	CI=0.95	Limite Inferior	Limite Superior
615	29.375	3.330	26.045	32.705
616	29.293	3.286	26.007	32.579
617	29.709	3.081	26.628	32.790
618	30.027	3.179	26.848	33.206
619	30.066	3.231	26.835	33.297
620	29.989	3.263	26.726	33.252
621	29.723	3.346	26.377	33.069
622	29.695	3.337	26.358	33.032
623	29.762	3.362	26.400	33.124
624	29.775	3.399	26.376	33.174
625	29.647	3.390	26.257	33.037
626	29.505	3.404	26.101	32.909
627	29.451	3.517	25.934	32.968
628	29.302	3.576	25.726	32.878
629	29.315	3.914	25.401	33.229
630	29.112	3.979	25.133	33.091
631	29.268	4.108	25.160	33.376
632	28.930	4.146	24.784	33.076
633	28.941	4.266	24.675	33.207
634	28.985	4.235	24.750	33.220
635	28.955	4.283	24.672	33.238
636	28.767	4.302	24.465	33.069
637	28.729	4.417	24.312	33.146
638	28.720	4.419	24.301	33.139
639	29.036	4.663	24.373	33.699
640	29.152	4.959	24.193	34.111
641	29.356	4.580	24.776	33.936
642	29.300	4.599	24.701	33.899
643	29.656	4.886	24.770	34.542
644	29.564	4.702	24.862	34.266
645	29.321	4.654	24.667	33.975
646	29.274	4.411	24.863	33.685
647	29.148	4.394	24.754	33.542
648	29.070	4.497	24.573	33.567
649	29.180	4.521	24.659	33.701
650	29.131	4.532	24.599	33.663
651	29.101	4.555	24.546	33.656
652	29.209	4.376	24.833	33.585
653	29.326	4.445	24.881	33.771
654	29.095	4.415	24.680	33.510
655	29.087	4.413	24.674	33.500
656	29.070	4.357	24.713	33.427
657	28.870	4.231	24.639	33.101
658	28.700	4.194	24.506	32.894
659	28.728	4.280	24.448	33.008
660	28.651	4.216	24.435	32.867
661	28.527	4.189	24.338	32.716
662	28.817	3.862	24.955	32.679
663	29.238	3.847	25.391	33.085
664	29.277	3.849	25.428	33.126
665	29.261	3.769	25.492	33.030
666	28.917	3.743	25.174	32.660
667	28.816	3.855	24.961	32.671
668	28.657	3.846	24.811	32.503
669	28.536	3.772	24.764	32.308
670	28.931	3.930	25.001	32.861
671	29.070	3.936	25.134	33.006
672	28.888	4.051	24.837	32.939
673	29.118	4.145	24.973	33.263
674	28.965	4.141	24.824	33.106
675	28.856	4.136	24.720	32.992
676	28.861	4.101	24.760	32.962
677	28.814	4.105	24.709	32.919
678	29.244	4.150	25.094	33.394
679	29.383	4.073	25.310	33.456
