2018-04-06T16:55:28,487Z	8,520221
2018-04-06T16:55:28,866Z	8,118957
2018-04-06T16:55:29,118Z	7,86834
2018-04-06T16:55:29,617Z	7,368416
2018-04-06T16:55:29,866Z	7,116628
2018-04-06T16:55:30,387Z	6,61374
2018-04-06T16:55:30,819Z	7,47695
2018-04-06T16:55:30,893Z	8,087954
2018-04-06T16:55:31,057Z	7,92217
2018-04-06T16:55:31,118Z	7,866617
2018-04-06T16:55:31,407Z	7,572028
2018-04-06T16:55:31,617Z	7,367335
2018-04-06T16:55:31,865Z	7,117039
2018-04-06T16:55:32,371Z	6,616417
2018-04-06T16:55:32,948Z	6,083496
2018-04-06T16:55:33,257Z	7,029632
2018-04-06T16:55:33,309Z	7,670129
2018-04-06T16:55:33,507Z	7,471497
2018-04-06T16:55:33,613Z	7,367253
2018-04-06T16:55:33,856Z	7,123692
2018-04-06T16:55:33,869Z	7,113128
2018-04-06T16:55:34,363Z	6,620168
2018-04-06T16:55:34,613Z	6,370134
2018-04-06T16:55:35,120Z	5,867919
2018-04-06T16:55:35,607Z	5,414931
2018-04-06T16:55:35,690Z	7,305628
2018-04-06T16:55:35,710Z	7,291931
2018-04-06T16:55:35,863Z	7,119045
2018-04-06T16:55:36,363Z	6,619204
2018-04-06T16:55:36,863Z	6,120629
2018-04-06T16:55:37,113Z	5,87093
2018-04-06T16:55:37,363Z	5,620952
2018-04-06T16:55:38,033Z	4,995674
2018-04-06T16:55:38,367Z	4,617248
2018-04-06T16:55:38,686Z	6,298446
2018-04-06T16:55:38,762Z	6,223078
2018-04-06T16:55:38,865Z	6,122343
2018-04-06T16:55:39,205Z	7,802715
2018-04-06T16:55:39,363Z	7,622913
2018-04-06T16:55:39,481Z	7,506375
2018-04-06T16:55:39,616Z	9,371402
2018-04-06T16:55:39,629Z	9,363507
2018-04-06T16:55:39,813Z	9,172263
2018-04-06T16:55:39,986Z	11,002365
2018-04-06T16:55:40,366Z	10,831162
2018-04-06T16:55:40,484Z	10,506554
2018-04-06T16:55:40,501Z	10,49579
2018-04-06T16:55:40,865Z	10,12211
2018-04-06T16:55:41,367Z	9,62241
2018-04-06T16:55:41,864Z	9,122547
2018-04-06T16:55:42,366Z	8,623006
2018-04-06T16:55:42,615Z	8,370618
2018-04-06T16:55:43,113Z	7,872171
2018-04-06T16:55:43,363Z	7,622175
2018-04-06T16:55:43,615Z	7,371883
2018-04-06T16:55:44,114Z	6,871995
2018-04-06T16:55:44,614Z	6,371851
2018-04-06T16:55:45,118Z	5,871465
2018-04-06T16:55:45,613Z	5,371751
2018-04-06T16:55:46,112Z	4,872109
2018-04-06T16:55:46,364Z	4,872109
2018-04-06T16:55:50,345Z	4,674149
2018-04-06T16:55:50,400Z	6,674149
2018-04-06T16:55:50,659Z	6,674149
2018-04-06T16:55:50,898Z	8,674149
2018-04-06T16:55:50,965Z	8,656734
2018-04-06T16:55:51,075Z	8,639153
2018-04-06T16:55:51,133Z	8,639153
