Interval	Avg	Std	CI=0.95	Min	Median	Max
  417 --   418	25.684	9.435	11.715	7.608	30.343	33.603
  418 --   419	25.691	8.978	11.147	8.603	29.757	33.902
  419 --   420	25.502	8.969	11.137	8.181	29.064	32.938
  420 --   421	25.594	8.790	10.914	8.439	30.146	31.911
  421 --   422	25.704	9.370	11.635	7.432	30.916	32.646
  422 --   423	25.665	9.992	12.407	6.392	29.890	34.646
  423 --   424	24.919	10.469	12.999	4.586	29.800	34.134
  424 --   425	24.870	10.079	12.515	5.162	29.573	33.006
  425 --   426	24.175	10.032	12.457	4.602	28.991	32.022
  426 --   427	23.737	10.271	12.753	3.488	28.964	30.721
  427 --   428	24.138	9.986	12.399	4.406	29.532	30.666
  428 --   429	23.967	9.497	11.792	5.073	28.821	29.974
  429 --   430	24.725	8.745	10.858	7.354	28.755	30.520
  430 --   431	25.422	8.572	10.644	8.951	29.036	33.698
  431 --   432	25.763	8.680	10.778	9.351	29.930	34.032
  432 --   433	26.320	8.290	10.293	11.014	30.940	33.391
  433 --   434	25.458	8.352	10.371	10.065	29.872	32.258
  434 --   435	25.079	8.220	10.207	10.047	30.584	31.355
  435 --   436	25.388	7.478	9.285	11.638	30.080	31.794
  436 --   437	26.296	6.393	7.939	14.573	29.545	31.834
  437 --   438	25.783	6.748	8.378	13.584	30.013	31.779
  438 --   439	25.397	7.223	8.968	12.691	29.176	32.151
  439 --   440	25.046	7.617	9.458	11.853	28.417	31.935
  440 --   441	24.515	7.657	9.507	10.893	28.172	31.028
  441 --   442	24.528	7.814	9.702	9.918	27.559	31.616
  442 --   443	24.232	7.910	9.822	9.025	27.637	31.060
  443 --   444	23.401	8.054	10.001	8.018	26.355	30.975
  444 --   445	22.861	8.321	10.331	7.173	25.931	30.778
  445 --   446	23.696	9.236	11.468	6.016	27.280	31.321
  446 --   447	23.924	9.764	12.124	5.127	27.939	31.444
  447 --   448	23.733	10.125	12.572	4.052	27.914	31.924
  448 --   449	23.203	10.362	12.866	3.163	26.542	31.235
  449 --   450	22.726	10.693	13.278	2.290	25.664	32.129
  450 --   451	22.485	9.799	12.167	3.999	24.705	31.027
  451 --   452	22.291	9.786	12.151	4.277	23.666	31.041
  452 --   453	22.515	9.832	12.208	4.051	24.096	30.894
  453 --   454	22.342	10.169	12.627	2.970	24.560	31.419
  454 --   455	22.429	9.773	12.135	3.613	24.403	30.582
  455 --   456	22.762	10.001	12.418	3.189	25.382	30.211
  456 --   457	22.638	9.983	12.396	2.971	25.826	29.962
  457 --   458	22.920	9.684	12.025	4.185	25.369	31.195
  458 --   459	22.447	9.550	11.858	4.106	24.623	30.995
