Time 1-10.0.0.4-10.0.0.2 5-10.0.0.4-10.0.0.2 3-10.0.0.4-10.0.0.2 4-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 1-10.0.0.3-10.0.0.2 5-10.0.0.3-10.0.0.2 3-10.0.0.3-10.0.0.2 2-10.0.0.3-10.0.0.2 4-10.0.0.3-10.0.0.2 Aggregate-Flow
258.000000 0.001557 0.006317 0.007916 0.009383 0.008307 0.001499 0.008049 0.008735 0.010180 0.012378 0.074321
259.000000 0.001267 0.005346 0.010895 0.009633 0.009082 0.001542 0.008274 0.010460 0.047879 0.011170 0.115548
260.000000 0.001821 0.005912 0.008776 0.010951 0.010412 0.001546 0.009550 0.008844 0.008750 0.050500 0.117062
261.000000 0.001907 0.005950 0.010018 0.008027 0.010192 0.001683 0.008229 0.009566 0.011049 0.010568 0.077189
262.000000 0.001501 0.012441 0.013583 0.013967 0.009546 0.001427 0.008501 0.009338 0.014007 0.012757 0.097068
263.000000 0.001516 0.004900 0.010271 0.009765 0.007770 0.001451 0.006877 0.009027 0.010480 0.011069 0.073126
264.000000 0.001473 0.005491 0.011035 0.010413 0.007836 0.001328 0.007239 0.008258 0.012231 0.009817 0.075121
265.000000 0.001729 0.004959 0.010353 0.010720 0.007581 0.001154 0.007389 0.008762 0.010570 0.010205 0.073422
266.000000 0.001626 0.007514 0.020388 0.011162 0.009783 0.001261 0.005084 0.008796 0.016397 0.012278 0.094289
267.000000 0.007945 0.028418 0.027366 0.035037 0.026973 0.005798 0.024429 0.034294 0.027848 0.040473 0.258581
268.000000 0.001090 0.008919 0.010423 0.010075 0.008534 0.001111 0.009115 0.011436 0.015547 0.008712 0.084962
269.000000 0.001559 0.036900 0.040740 0.010882 0.056353 0.001260 0.013569 0.012673 0.016311 0.014707 0.204954
270.000000 0.001230 0.009194 0.010961 0.013778 0.008517 0.001470 0.010256 0.008983 0.010926 0.030839 0.106154
271.000000 0.001154 0.006908 0.011357 0.010102 0.008289 0.001468 0.007173 0.008583 0.010795 0.010206 0.076035
272.000000 0.001295 0.007775 0.011059 0.010084 0.009292 0.001421 0.008541 0.009072 0.010214 0.011197 0.079950
273.000000 0.001897 0.006920 0.010006 0.010693 0.009638 0.001837 0.008599 0.007968 0.009651 0.011358 0.078567
274.000000 0.001691 0.007716 0.010917 0.009782 0.008421 0.001821 0.009290 0.014768 0.011442 0.012780 0.088628
275.000000 0.001806 0.008044 0.011006 0.010222 0.008442 0.001798 0.008614 0.008440 0.044299 0.011823 0.114494
276.000000 0.001945 0.008542 0.010921 0.008604 0.008803 0.001961 0.009293 0.009387 0.010719 0.011351 0.081526
277.000000 0.001575 0.007408 0.010804 0.009816 0.009619 0.001559 0.008306 0.008155 0.010049 0.010995 0.078286
278.000000 0.001597 0.008198 0.010841 0.009580 0.009185 0.001645 0.008131 0.008380 0.011776 0.011848 0.081181
279.000000 0.001609 0.007288 0.011319 0.009798 0.008308 0.001613 0.008699 0.008385 0.010138 0.011422 0.078579
