Time 1-10.0.0.3-10.0.0.2 2-10.0.0.3-10.0.0.2 3-10.0.0.3-10.0.0.2 5-10.0.0.3-10.0.0.2 4-10.0.0.3-10.0.0.2 1-10.0.0.6-10.0.0.2 5-10.0.0.6-10.0.0.2 4-10.0.0.6-10.0.0.2 2-10.0.0.6-10.0.0.2 3-10.0.0.6-10.0.0.2 5-10.0.0.4-10.0.0.2 1-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 4-10.0.0.4-10.0.0.2 3-10.0.0.4-10.0.0.2 Aggregate-Flow
129.000000 5.378378 7.768233 14.163642 13.407550 7.838523 1.528184 9.912161 6.772395 6.771689 6.527554 8.231242 2.439989 5.494227 12.021663 13.187131 121.442561
130.000000 4.712321 8.038111 14.859949 11.021970 8.328019 1.099257 8.079072 7.185977 7.173428 7.127428 8.517183 2.527909 5.769351 12.508556 13.564558 120.513089
131.000000 3.343608 8.343926 15.477867 11.700053 8.703179 0.998006 8.700564 7.577285 7.554613 7.755911 8.735297 2.694457 6.005830 12.934815 13.996712 124.522123
132.000000 3.374006 8.685435 16.219600 12.351360 9.023859 1.036482 9.190897 4.808843 8.006143 8.282844 5.378905 2.915992 4.822005 13.433367 14.517134 122.046872
133.000000 3.377278 7.792951 16.992357 13.044658 8.904739 1.053737 9.780235 4.349724 6.249073 8.803940 4.176379 3.068965 5.179116 13.988049 14.980411 121.741612
134.000000 3.345486 5.227681 15.146388 13.772653 5.386494 1.077498 10.299275 4.792581 6.245964 7.132597 4.377101 3.224209 5.597477 14.487489 15.456786 115.569679
135.000000 3.261979 5.486262 13.195656 12.081829 5.790350 1.106271 6.946577 5.269314 6.700266 7.102857 4.685398 3.218560 6.038812 7.217473 16.042428 104.144032
136.000000 3.291958 5.777813 13.852383 7.899616 6.269597 1.151267 7.435953 5.635027 7.139248 7.717018 4.985249 3.215354 6.360073 7.526122 16.460756 104.717434
137.000000 3.181122 6.183850 14.349076 8.420447 6.575484 1.262568 8.078215 5.998743 7.629263 8.319543 5.452987 3.028088 6.842243 7.797455 8.999425 102.118509
138.000000 0.000000 6.376267 14.703329 0.000000 6.944480 1.322300 0.000000 6.281182 0.000000 8.587000 5.632722 0.000000 7.039075 8.071397 8.893299 73.851051
139.000000 4.579751 0.000000 0.000000 0.000000 8.267336 2.636879 9.811057 0.000000 9.304995 9.941362 6.863505 4.033474 0.000000 9.390406 10.415321 75.244086
140.000000 3.602631 8.483489 16.724551 10.913480 8.808250 2.646213 10.533489 8.117508 0.000000 10.590555 6.904603 3.165709 8.922894 9.779953 10.305710 119.499035
141.000000 2.208192 8.371038 15.884397 0.000000 8.568581 2.506598 10.400045 8.194169 10.619206 10.299373 7.641529 1.751034 9.118304 9.899995 10.277526 115.739987
142.000000 2.978689 8.549110 11.710102 12.304035 9.404551 2.726351 11.637616 8.724884 10.510458 11.117305 0.000000 1.611239 9.932706 10.380503 11.236165 122.823714
143.000000 2.936009 8.445268 11.553011 12.633475 9.339554 2.574775 11.706402 8.857838 9.047907 11.104077 8.023113 0.820771 9.957323 10.198736 10.959334 128.157593
144.000000 2.711427 8.657236 11.812928 13.452346 9.554953 2.743213 8.298435 9.302455 6.996227 11.477842 6.022683 0.792675 10.425947 10.554211 11.118338 123.920916
