Time 1-10.0.0.4-10.0.0.2 5-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 3-10.0.0.4-10.0.0.2 4-10.0.0.4-10.0.0.2 1-10.0.0.6-10.0.0.2 5-10.0.0.6-10.0.0.2 2-10.0.0.6-10.0.0.2 3-10.0.0.6-10.0.0.2 4-10.0.0.6-10.0.0.2 1-10.0.0.3-10.0.0.2 5-10.0.0.3-10.0.0.2 3-10.0.0.3-10.0.0.2 2-10.0.0.3-10.0.0.2 4-10.0.0.3-10.0.0.2 Aggregate-Flow
82.000000 0.000922 0.009253 0.009077 0.007466 0.009706 0.001039 0.009333 0.008949 0.008179 0.010472 0.000308 0.001051 0.000755 0.002082 0.000823 0.079415
83.000000 0.001004 0.009282 0.008190 0.006218 0.022997 0.001144 0.009033 0.008618 0.009575 0.039250 0.000282 0.000465 0.000506 0.003201 0.000507 0.120272
84.000000 0.000959 0.042199 0.010430 0.006598 0.008891 0.001114 0.008544 0.007193 0.018467 0.009097 0.000325 0.000518 0.000333 0.003274 0.000836 0.118778
85.000000 0.001004 0.008468 0.009654 0.006767 0.008750 0.001112 0.008921 0.008287 0.008963 0.009167 0.000691 0.003162 0.003352 0.004356 0.003110 0.085764
86.000000 0.001052 0.010186 0.007628 0.005066 0.008619 0.001129 0.007735 0.008151 0.009766 0.010106 0.000660 0.003727 0.004663 0.004959 0.004056 0.087503
87.000000 0.001006 0.009366 0.009046 0.005679 0.009025 0.001044 0.008865 0.010094 0.009838 0.011033 0.000475 0.001331 0.001555 0.004305 0.001587 0.084249
88.000000 0.001230 0.009474 0.009005 0.006239 0.008709 0.001007 0.009307 0.007690 0.008825 0.010782 0.000910 0.005366 0.006084 0.006287 0.007092 0.098007
89.000000 0.001243 0.010232 0.009477 0.005735 0.009407 0.001098 0.009352 0.009367 0.009017 0.010588 0.000506 0.002243 0.002147 0.004293 0.001971 0.086676
90.000000 0.001210 0.008765 0.009510 0.007586 0.008882 0.000877 0.010090 0.007288 0.009511 0.010861 0.000675 0.003062 0.004938 0.004398 0.003575 0.091228
91.000000 0.001062 0.008765 0.007978 0.007943 0.008639 0.001175 0.007597 0.009264 0.008015 0.015460 0.000654 0.004196 0.004166 0.004973 0.004368 0.094255
92.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.006694 0.000000 0.000406 0.001489 0.001634 0.003348 0.001933 0.015504
